Data, Temperatura °C, Humidade %
22/9/2023 06:52:52, 24.50, 62.00
22/9/2023 06:53:52, 24.40, 63.00
22/9/2023 06:54:52, 24.50, 62.00
22/9/2023 06:55:52, 24.50, 62.00
22/9/2023 06:56:53, 24.40, 62.00
22/9/2023 06:57:53, 24.50, 62.00
22/9/2023 06:58:53, 24.50, 63.00
22/9/2023 06:59:53, 24.50, 62.00
22/9/2023 07:00:53, 24.50, 62.00
22/9/2023 07:01:53, 24.50, 62.00
22/9/2023 07:02:53, 24.50, 62.00
22/9/2023 07:03:53, 24.60, 62.00
22/9/2023 07:04:53, 24.60, 62.00
22/9/2023 07:05:53, 24.60, 62.00
22/9/2023 07:06:53, 24.70, 62.00
22/9/2023 07:07:53, 24.80, 62.00
22/9/2023 07:08:53, 24.80, 62.00
22/9/2023 07:09:53, 24.80, 62.00
22/9/2023 07:10:53, 24.80, 62.00
22/9/2023 07:11:53, 24.80, 62.00
22/9/2023 07:12:53, 24.90, 62.00
22/9/2023 07:13:53, 24.90, 62.00
22/9/2023 07:14:53, 24.80, 62.00
22/9/2023 07:15:53, 24.90, 62.00
22/9/2023 07:16:53, 24.90, 61.00
22/9/2023 07:17:53, 24.90, 62.00
22/9/2023 07:18:53, 25.00, 62.00
22/9/2023 07:19:53, 25.00, 61.00
22/9/2023 07:20:53, 25.00, 61.00
22/9/2023 07:21:53, 24.90, 60.00
22/9/2023 07:22:53, 24.90, 61.00
22/9/2023 07:23:53, 25.00, 60.00
22/9/2023 07:24:53, 25.10, 60.00
22/9/2023 07:25:53, 25.10, 60.00
22/9/2023 07:26:53, 25.10, 60.00
22/9/2023 07:27:53, 25.10, 60.00
22/9/2023 07:28:53, 25.10, 60.00
22/9/2023 07:29:53, 25.10, 60.00
22/9/2023 07:30:53, 25.20, 60.00
22/9/2023 07:31:53, 25.20, 60.00
22/9/2023 07:32:53, 25.20, 60.00
22/9/2023 07:33:53, 25.20, 60.00
22/9/2023 07:34:53, 25.20, 60.00
22/9/2023 07:35:53, 25.30, 60.00
22/9/2023 07:36:53, 25.40, 60.00
22/9/2023 07:37:54, 25.40, 60.00
22/9/2023 07:38:54, 25.40, 59.00
22/9/2023 07:39:54, 25.40, 59.00
22/9/2023 07:40:54, 25.40, 59.00
22/9/2023 07:41:54, 25.40, 59.00
22/9/2023 07:42:54, 25.40, 59.00
22/9/2023 07:43:54, 25.40, 59.00
22/9/2023 07:44:54, 25.40, 59.00
22/9/2023 07:45:54, 25.40, 59.00
22/9/2023 07:46:54, 25.50, 58.00
22/9/2023 07:47:54, 25.50, 59.00
22/9/2023 07:48:54, 25.50, 59.00
22/9/2023 07:49:54, 25.60, 59.00
22/9/2023 07:50:54, 25.50, 59.00
22/9/2023 07:51:54, 25.70, 59.00
22/9/2023 07:52:54, 25.60, 59.00
22/9/2023 07:53:54, 25.60, 59.00
22/9/2023 07:54:54, 25.70, 59.00
22/9/2023 07:55:54, 25.70, 59.00
22/9/2023 07:56:54, 25.70, 59.00
22/9/2023 07:57:54, 25.70, 59.00
22/9/2023 07:58:54, 25.80, 58.00
22/9/2023 07:59:54, 25.90, 58.00
22/9/2023 08:00:54, 25.90, 58.00
22/9/2023 08:01:54, 25.90, 58.00
22/9/2023 08:02:54, 26.00, 59.00
22/9/2023 08:03:54, 26.00, 59.00
22/9/2023 08:04:54, 26.00, 59.00
22/9/2023 08:05:54, 26.10, 58.00
22/9/2023 08:06:54, 26.10, 59.00
22/9/2023 08:07:54, 26.10, 59.00
22/9/2023 08:08:54, 26.20, 58.00
22/9/2023 08:09:54, 26.30, 58.00
22/9/2023 08:10:54, 26.20, 58.00
22/9/2023 08:11:54, 26.30, 58.00
22/9/2023 08:12:54, 26.30, 57.00
22/9/2023 08:13:54, 26.30, 57.00
22/9/2023 08:14:55, 26.30, 57.00
22/9/2023 08:15:55, 26.30, 57.00
22/9/2023 08:16:55, 26.40, 57.00
22/9/2023 08:17:55, 26.40, 57.00
22/9/2023 08:18:55, 26.40, 57.00
22/9/2023 08:19:55, 26.40, 57.00
22/9/2023 08:20:55, 26.50, 57.00
22/9/2023 08:21:55, 26.60, 58.00
22/9/2023 08:22:55, 26.60, 58.00
22/9/2023 08:23:55, 26.60, 58.00
22/9/2023 08:24:55, 26.70, 57.00
22/9/2023 08:25:55, 26.70, 56.00
22/9/2023 08:26:55, 26.70, 56.00
22/9/2023 08:27:55, 26.80, 56.00
22/9/2023 08:28:55, 26.80, 56.00
22/9/2023 08:29:55, 26.90, 56.00
22/9/2023 08:30:55, 26.80, 56.00
22/9/2023 08:31:55, 26.90, 56.00
