Data, Temperatura °C, Humidade %
21/9/2023 22:57:40, 28.90, 47.00
21/9/2023 22:58:40, 28.80, 47.00
21/9/2023 22:59:40, 28.70, 47.00
21/9/2023 23:00:40, 28.70, 47.00
21/9/2023 23:01:40, 28.60, 47.00
21/9/2023 23:02:40, 28.60, 47.00
21/9/2023 23:03:40, 28.60, 48.00
21/9/2023 23:04:40, 28.60, 48.00
21/9/2023 23:05:41, 28.60, 48.00
21/9/2023 23:06:41, 28.60, 48.00
21/9/2023 23:07:41, 28.60, 48.00
21/9/2023 23:08:41, 28.50, 48.00
21/9/2023 23:09:41, 28.40, 49.00
21/9/2023 23:10:41, 28.40, 49.00
21/9/2023 23:11:41, 28.40, 49.00
21/9/2023 23:12:41, 28.40, 49.00
21/9/2023 23:13:41, 28.40, 49.00
21/9/2023 23:14:41, 28.40, 49.00
21/9/2023 23:15:41, 28.40, 49.00
21/9/2023 23:16:41, 28.30, 49.00
21/9/2023 23:17:41, 28.30, 50.00
21/9/2023 23:18:41, 28.30, 49.00
21/9/2023 23:19:41, 28.30, 50.00
21/9/2023 23:20:41, 28.30, 49.00
21/9/2023 23:21:41, 28.30, 50.00
21/9/2023 23:22:41, 28.30, 50.00
21/9/2023 23:23:41, 28.20, 50.00
21/9/2023 23:24:41, 28.10, 50.00
21/9/2023 23:25:41, 28.00, 51.00
21/9/2023 23:26:41, 28.00, 51.00
21/9/2023 23:27:41, 28.10, 51.00
21/9/2023 23:28:41, 28.00, 51.00
21/9/2023 23:29:41, 28.00, 51.00
21/9/2023 23:30:41, 28.00, 51.00
21/9/2023 23:31:41, 28.00, 51.00
21/9/2023 23:32:41, 28.00, 51.00
21/9/2023 23:33:42, 28.00, 52.00
21/9/2023 23:34:42, 27.90, 51.00
21/9/2023 23:35:42, 28.00, 52.00
21/9/2023 23:36:42, 27.90, 51.00
21/9/2023 23:37:42, 28.00, 52.00
21/9/2023 23:38:42, 27.90, 51.00
21/9/2023 23:39:42, 27.90, 51.00
21/9/2023 23:40:42, 27.90, 51.00
21/9/2023 23:41:42, 27.90, 52.00
21/9/2023 23:42:42, 27.90, 52.00
21/9/2023 23:43:42, 27.90, 51.00
21/9/2023 23:44:42, 27.90, 52.00
21/9/2023 23:45:42, 28.00, 53.00
21/9/2023 23:46:42, 28.00, 52.00
21/9/2023 23:47:42, 28.00, 52.00
21/9/2023 23:48:42, 27.90, 51.00
21/9/2023 23:49:42, 27.90, 51.00
21/9/2023 23:50:42, 27.90, 52.00
21/9/2023 23:51:42, 27.90, 52.00
21/9/2023 23:52:42, 27.90, 52.00
21/9/2023 23:53:42, 27.90, 52.00
